Shipment Code,CV Number,No. Of Sacks,Total CBM,Weight,Shipment Status,Posting Date,Order Date,Payment,Product,Product Code,Age Range,Unit,Unit Price,Quantity,Shipping Fee 1,Exchange Rates,PHP,Sub Total (PHP),Transaction Fee,Grand Total,Shipping Fee 2,Shipping Fee 3,Packaging,Suggested Price,Actual Price,Base Price,COGS,Projected Sales Total,Projected Profit,Projected Profit (%),Total Markup
KPC 23930A-00184,,,,,,032025,,Paid,Baby Dress,,1m-3T,pc,1.24,230,3.14,61.00,,,,,836.71,118.85,118.85,,110.00,,,,,,
KPC 23930A-00184,,,,,,032025,,Paid,Champion 2-PC Set,,2T-10T,set,2.74,400,10.91,61.00,,,,,"2,910.29",413.39,413.39,,245.00,,,,,,
KPC 23930A-00184,,,,,,031525,,Paid,Zutano 2-PC Set,,6m-4T,set,1.78,1904,51.95,61.00,,,,,"13,853.00","1,967.76","1,967.76",,155.00,,,,,,
KPC 23930A-00186,,,,,,032025,,Paid,Carter's Tops,,6m-2T,pc,0.55,1849,15.84,61.00,,,,,"4,070.75",550.10,550.10,,49.00,,,,,,
KPC 23930A-00186,,,,,,032025,,Paid,Premium Footed Pants,,0-12m,pc,0.53,3005,25.75,61.00,,,,,"6,615.79",894.03,894.03,,58.00,,,,,,
KPC 23930A-00186,,,,,,031325,,Paid,Premium Sleeveless Onesie,,0-36m,pc,0.68,3549,30.41,61.00,,,,,"7,813.46","1,055.87","1,055.87",,64.00,,,,,,
KPC 23930A-00187,,,,,,040125,,Paid,H&M Sleeveless Tops,,2T-10Y,pc,0.76,152,1.15,61.00,,,,,418.37,59.77,59.77,,65.00,,,,,,
KPC 23930A-00187,,,,,,040425,,Paid,H&M Organic Longsleeves Tops,,2m-4T,pc,0.76,52,0.39,61.00,,,,,143.13,20.45,20.45,,65.00,,,,,,
KPC 23930A-00187,,,,,,032125,,Paid,Old Navy Shorts,,5m-10Y,pc,0.76,33,0.25,61.00,,,,,90.83,12.98,12.98,,65.00,,,,,,
KPC 23930A-00187,,,,,,032125,,Paid,CK Shortsleeves Onesie,,0-24m,pc,0.83,278,2.10,61.00,,,,,765.18,109.31,109.31,,74.00,,,,,,
KPC 23930A-00187,,,,,,032125,,Paid,CK Longsleeves Onesie,,0-24m,pc,0.86,208,1.57,61.00,,,,,572.51,81.79,81.79,,78.00,,,,,,
KPC 23930A-00187,,,,,,031325,,Paid,Premium Shortsleeves Onesie,,1m-24m,pc,0.63,5635,42.54,61.00,,,,,"15,509.99","2,215.71","2,215.71",,61.00,,,,,,
KPC 23930A-00194,,,,,,031325,,Paid,Premium Longsleeves Onesie,,1m-18m,pc,0.73,663,7.56,61.00,,,,,"1,559.44","1,181.40","1,181.40",,70.00,,,,,,
KPC 23930A-00194,,,,,,031325,,Paid,Premium Onesie Dress,,0-24m,pc,1.80,740,8.44,61.00,,,,,"1,740.56","1,318.60","1,318.60",,145.00,,,,,,
KPC 23930A-00189,,,,,,031425,,Paid,Premium Mixed Brands Onesies,,0-18m,pc,0.79,2100,0.00,60.00,,,,,"4,000.00","1,500.00","1,500.00",,68.00,,,,,,
KPC 23930A-00190,,,,,,031725,,Paid,Regular Mixed Brands Onesies,,0-18m,pc,0.69,700,0.00,58.30,,,,,700.00,500.00,500.00,,47.00,,,,,,
KPC 23930A-00189,,,,,,032025,,Paid,Organic Shortsleeves Onesies,,0-12m,pc,1.13,960,0.00,60.00,,,,,"2,300.00","1,000.00","1,000.00",,86.00,,,,,,
